,Member,Party,Year,State,Reason,Resignation Date
427,Lister Hill,D,1938,AL,Appointed U.S. senator,1938-01-11
428,Dixie Bibb Graves,D,1938,AL,Appointment was expiring; resigned to let successor start early,1938-01-10
429,Henry Ellenbogen,D,1938,PA,Elected Pennsylvania judge,1938-01-03
430,John Miller,D,1937,AR,Elected U.S. senator,1937-11-14
431,John Higgins,D,1937,MA,Appointed Massachusetts judge,1937-09-30
432,Charles Millard,R,1937,NY,Elected Westchester County surrogate,1937-09-29
433,Hugo Black,D,1937,AL,Appointed to U.S. Supreme Court,1937-08-19
434,Frank Kloeb,D,1937,OH,Appointed federal judge,1937-08-19
435,Prentiss Brown,D,1936,MI,Appointed U.S. senator,1936-11-18
436,Guy Gillette,D,1936,IA,Elected U.S. senator,1936-11-03
437,Samuel Hill,D,1936,WA,Appointed federal judge,1936-06-25
438,Mell Underwood,D,1936,OH,Appointed federal judge,1936-04-10
439,William Brunner,D,1935,NY,Elected Queens County sheriff,1935-09-27
440,William Arnold,D,1935,IL,Appointed federal judge,1935-09-16
441,Michael Igoe,D,1935,IL,Appointed to Roosevelt administration,1935-06-02
442,John McDuffie,D,1935,AL,Appointed federal judge,1935-03-02
443,Francis Condon,D,1935,RI,Appointed Rhode Island judge,1935-01-10
444,James Beck,R,1934,PA,"Frustrated with Congress, could fight the New Deal better in court",1934-09-30
445,W.A. Ayres,D,1934,KS,Appointed to Roosevelt administration,1934-08-22
446,Frank Oliver,D,1934,NY,Appointed New York City magistrate,1934-06-18
447,Ernest Gibson,R,1933,VT,Appointed U.S. senator,1933-10-19
448,Earl Major,D,1933,IL,Appointed federal judge,1933-10-06
449,Sam Bratton,D,1933,NM,Appointed federal judge,1933-06-24
450,Heartsill Ragon,D,1933,AR,Appointed federal judge,1933-06-16
451,Lewis Douglas,D,1933,AZ,Appointed to Roosevelt administration,1933-03-04
452,Cordell Hull,D,1933,TN,Appointed to Roosevelt administration,1933-03-03
453,John Nance Garner,D,1933,TX,Elected vice president,1933-03-03
454,Claude Swanson,D,1933,VA,Appointed to Roosevelt administration,1933-03-03
